zone,FGA,FGM,FG_PCT,FREQ,PPS,TEAM_ID,TEAM_NAME,SEASON,W_PCT,GP
Corner 3,322,140,0.43478260869565216,0.06336088154269973,1.3043478260869565,1610612738,Boston Celtics,2011-12,0.591,66
Long mid (10–22),1983,825,0.41603630862329805,0.3902007083825266,0.8320726172465961,1610612738,Boston Celtics,2011-12,0.591,66
Rim (0–3),1554,936,0.6023166023166023,0.30578512396694213,1.806949806949807,1610612738,Boston Celtics,2011-12,0.591,66
Short mid (3–10),561,217,0.3868092691622103,0.11038961038961038,1.160427807486631,1610612738,Boston Celtics,2011-12,0.591,66
Above-break 3,954,325,0.34067085953878407,0.17818453492715727,1.0220125786163523,1610612739,Cleveland Cavaliers,2011-12,0.318,66
Corner 3,313,115,0.36741214057507987,0.05846096376540904,1.1022364217252396,1610612739,Cleveland Cavaliers,2011-12,0.318,66
Long mid (10–22),1279,432,0.3377638780297107,0.23888681359731043,0.6755277560594214,1610612739,Cleveland Cavaliers,2011-12,0.318,66
Rim (0–3),1927,1093,0.5672029060716139,0.3599178184534927,1.7016087182148418,1610612739,Cleveland Cavaliers,2011-12,0.318,66
Short mid (3–10),881,296,0.33598183881952326,0.16454986925663057,1.0079455164585698,1610612739,Cleveland Cavaliers,2011-12,0.318,66
Above-break 3,559,180,0.3220035778175313,0.10962933908609532,0.9660107334525939,1610612740,New Orleans Pelicans,2011-12,0.318,66
Corner 3,214,79,0.3691588785046729,0.041969013532065114,1.1074766355140186,1610612740,New Orleans Pelicans,2011-12,0.318,66
Long mid (10–22),1804,739,0.40964523281596454,0.3537948617375956,0.8192904656319291,1610612740,New Orleans Pelicans,2011-12,0.318,66
Rim (0–3),1613,943,0.5846249225046497,0.3163365365757992,1.753874767513949,1610612740,New Orleans Pelicans,2011-12,0.318,66
Short mid (3–10),909,359,0.3949394939493949,0.1782702490684448,1.1848184818481848,1610612740,New Orleans Pelicans,2011-12,0.318,66
Above-break 3,805,308,0.3826086956521739,0.14776064610866374,1.1478260869565218,1610612741,Chicago Bulls,2011-12,0.758,66
Corner 3,298,111,0.3724832214765101,0.05469897209985316,1.1174496644295302,1610612741,Chicago Bulls,2011-12,0.758,66
Long mid (10–22),1889,732,0.3875066172578084,0.34673274596182085,0.7750132345156168,1610612741,Chicago Bulls,2011-12,0.758,66
Rim (0–3),1809,1058,0.5848535102266446,0.33204845814977973,1.7545605306799337,1610612741,Chicago Bulls,2011-12,0.758,66
Short mid (3–10),647,258,0.3987635239567233,0.11875917767988252,1.19629057187017,1610612741,Chicago Bulls,2011-12,0.758,66
Above-break 3,1117,378,0.3384064458370636,0.20677526841910404,1.0152193375111906,1610612742,Dallas Mavericks,2011-12,0.545,66
Corner 3,337,119,0.35311572700296734,0.062384302110329505,1.059347181008902,1610612742,Dallas Mavericks,2011-12,0.545,66
Long mid (10–22),1638,680,0.41514041514041516,0.30322102924842653,0.8302808302808303,1610612742,Dallas Mavericks,2011-12,0.545,66
Rim (0–3),1451,913,0.6292212267401792,0.2686042206590152,1.8876636802205375,1610612742,Dallas Mavericks,2011-12,0.545,66
Short mid (3–10),859,308,0.3585564610011641,0.15901517956312478,1.0756693830034925,1610612742,Dallas Mavericks,2011-12,0.545,66
Above-break 3,871,284,0.32606199770378874,0.16186582419624604,0.9781859931113662,1610612743,Denver Nuggets,2011-12,0.576,66
Corner 3,417,150,0.3597122302158273,0.07749488942575729,1.079136690647482,1610612743,Denver Nuggets,2011-12,0.576,66
Long mid (10–22),1042,403,0.3867562380038388,0.1936443040327077,0.7735124760076776,1610612743,Denver Nuggets,2011-12,0.576,66
Rim (0–3),2380,1474,0.619327731092437,0.4422969708232671,1.857983193277311,1610612743,Denver Nuggets,2011-12,0.576,66
Short mid (3–10),671,260,0.38748137108792846,0.12469801152202192,1.1624441132637853,1610612743,Denver Nuggets,2011-12,0.576,66
Above-break 3,961,351,0.36524453694068676,0.17697974217311233,1.0957336108220603,1610612744,Golden State Warriors,2011-12,0.348,66
Corner 3,378,173,0.4576719576719577,0.06961325966850829,1.373015873015873,1610612744,Golden State Warriors,2011-12,0.348,66
Long mid (10–22),1703,713,0.4186729301233118,0.3136279926335175,0.8373458602466236,1610612744,Golden State Warriors,2011-12,0.348,66
Rim (0–3),1613,969,0.6007439553626782,0.29705340699815835,1.8022318660880345,1610612744,Golden State Warriors,2011-12,0.348,66
Short mid (3–10),775,282,0.3638709677419355,0.1427255985267035,1.0916129032258066,1610612744,Golden State Warriors,2011-12,0.348,66
Above-break 3,932,308,0.33047210300429186,0.168443882161576,0.9914163090128756,1610612745,Houston Rockets,2011-12,0.515,66
Corner 3,388,170,0.4381443298969072,0.07012470630760889,1.3144329896907216,1610612745,Houston Rockets,2011-12,0.515,66
Long mid (10–22),1596,636,0.39849624060150374,0.2884511115127417,0.7969924812030075,1610612745,Houston Rockets,2011-12,0.515,66
Rim (0–3),1617,1001,0.6190476190476191,0.2922465208747515,1.8571428571428572,1610612745,Houston Rockets,2011-12,0.515,66
Short mid (3–10),1000,374,0.374,0.1807337791433219,1.1219999999999999,1610612745,Houston Rockets,2011-12,0.515,66
Above-break 3,1000,359,0.359,0.18684603886397608,1.077,1610612746,Los Angeles Clippers,2011-12,0.606,66
Corner 3,427,153,0.3583138173302108,0.07978325859491779,1.0749414519906324,1610612746,Los Angeles Clippers,2011-12,0.606,66
Long mid (10–22),1643,645,0.39257455873402314,0.3069880418535127,0.7851491174680463,1610612746,Los Angeles Clippers,2011-12,0.606,66
Rim (0–3),1631,1042,0.6388718577559779,0.304745889387145,1.9166155732679337,1610612746,Los Angeles Clippers,2011-12,0.606,66
Short mid (3–10),651,238,0.3655913978494624,0.12163677130044843,1.096774193548387,1610612746,Los Angeles Clippers,2011-12,0.606,66
Above-break 3,780,249,0.3192307692307692,0.1469203239781503,0.9576923076923076,1610612747,Los Angeles Lakers,2011-12,0.621,66
Corner 3,322,111,0.3447204968944099,0.060651723488415896,1.0341614906832297,1610612747,Los Angeles Lakers,2011-12,0.621,66
Long mid (10–22),1611,662,0.41092489137181876,0.30344697683179506,0.8218497827436375,1610612747,Los Angeles Lakers,2011-12,0.621,66
Rim (0–3),1611,1023,0.6350093109869647,0.30344697683179506,1.905027932960894,1610612747,Los Angeles Lakers,2011-12,0.621,66
Short mid (3–10),985,382,0.38781725888324875,0.18553399886984367,1.1634517766497463,1610612747,Los Angeles Lakers,2011-12,0.621,66
Above-break 3,675,242,0.3585185185185185,0.12963318609564048,1.0755555555555556,1610612748,Miami Heat,2011-12,0.697,66
Corner 3,351,127,0.36182336182336183,0.06740925676973306,1.0854700854700856,1610612748,Miami Heat,2011-12,0.697,66
Long mid (10–22),1667,669,0.4013197360527894,0.32014595736508544,0.8026394721055788,1610612748,Miami Heat,2011-12,0.697,66
Rim (0–3),1748,1101,0.629862700228833,0.3357019396965623,1.889588100686499,1610612748,Miami Heat,2011-12,0.697,66
Short mid (3–10),766,306,0.39947780678851175,0.14710966007297868,1.1984334203655354,1610612748,Miami Heat,2011-12,0.697,66
Above-break 3,926,315,0.34017278617710583,0.16427177576725208,1.0205183585313176,1610612749,Milwaukee Bucks,2011-12,0.47,66
Corner 3,324,115,0.3549382716049383,0.05747738158594997,1.0648148148148149,1610612749,Milwaukee Bucks,2011-12,0.47,66
